episode_id,episode_text,domain,research_area,complexity,intrinsic_reward,ged_value,ig_value,is_insight,connected_episodes_count,cross_domain_connections,processing_time,timestamp
1,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",medical diagnosis,Large Language Models,basic,0.1,0.1,0.0,False,0,0,0.023949146270751953,2025-06-19T03:58:18.214122
2,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",autonomous systems,Computer Vision,basic,0.1,0.1,0.0,False,0,0,0.02922821044921875,2025-06-19T03:58:18.261056
3,"Recent research in Natural Language Processing demonstrates significant improvements in natural language understanding, showing promising results with practical implications for real-world deployment.",natural language understanding,Natural Language Processing,basic,0.18930935183167458,0.37561870366334915,0.003,False,2,2,0.04274630546569824,2025-06-19T03:58:18.319170
4,"Recent research in Reinforcement Learning reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",computer vision,Reinforcement Learning,basic,0.19894994017481804,0.3938998803496361,0.004,False,3,3,0.027998924255371094,2025-06-19T03:58:18.363116
5,"Recent research in Graph Neural Networks establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",robotics,Graph Neural Networks,basic,0.15192358434200287,0.29884716868400574,0.005,False,4,4,0.02839493751525879,2025-06-19T03:58:18.406381
6,"Recent research in Federated Learning proposes innovative approach to cybersecurity, showing promising results with practical implications for real-world deployment.",cybersecurity,Federated Learning,basic,0.20779006320238114,0.40958012640476227,0.006,False,5,5,0.0295870304107666,2025-06-19T03:58:18.451277
7,"Recent research in Explainable AI discovers unexpected connections in climate modeling, showing promising results with practical implications for real-world deployment.",climate modeling,Explainable AI,basic,0.18496492540836335,0.3629298508167267,0.007,False,6,6,0.028362035751342773,2025-06-19T03:58:18.495461
8,"Recent research in Multimodal Learning enables practical applications of drug discovery, showing promising results with practical implications for real-world deployment.",drug discovery,Multimodal Learning,basic,0.18570982599258423,0.36341965198516846,0.008,False,7,7,0.029458045959472656,2025-06-19T03:58:18.540181
9,"Recent research in Few-shot Learning solves long-standing challenges in financial prediction, showing promising results with practical implications for real-world deployment.",financial prediction,Few-shot Learning,basic,0.18656261098384858,0.36412522196769714,0.009000000000000001,False,8,8,0.029688119888305664,2025-06-19T03:58:18.585229
10,"Recent research in Transfer Learning creates new paradigm for educational technology, showing promising results with practical implications for real-world deployment.",educational technology,Transfer Learning,basic,0.1867590966820717,0.36351819336414337,0.01,False,9,9,0.02754497528076172,2025-06-19T03:58:18.629229
