file_path,module,domain,subdomain,responsibility_summary,line_count,class_count,function_count,classes,top_level_functions,runtime_reachable,test_reachable,internal_indegree,priority,recommended_action,merge_with,split_recommendation,improvement_proposal
src/insightspike/cli/spike.py,insightspike.cli.spike,cli,cli,CLIエントリとコマンド,847,2,14,CLIState|DependencyFactory,run_cli|query|embed|config|interactive|stats|show_stats|experiment|demo|insights|insights_search|version|_default_config_and_datastore|main,yes,yes,4,P0,split,-,command群を `cli/commands/` へ完全分離し、`DependencyFactory` と bootstrap を別ファイル化,CLI実装と依存解決が1ファイルに同居。コマンド追加時の衝突を回避するため構造分離が必要
src/insightspike/implementations/agents/main_agent.py,insightspike.implementations.agents.main_agent,implementations,implementations/agents,具体実装（agents/layers/datastore）,2213,2,4,CycleResult|MainAgent,get_llm_provider|safe_attr|safe_has|cycle,yes,yes,12,P0,split,-,MainAgent を `main_agent/` パッケージ化し、Cycle実行・永続化・Query記録・ABログ連携を別モジュールへ分離,2k行超の責務集中。初期化、推論サイクル、永続化、診断コードを分割して保守性を上げる
src/insightspike/implementations/agents/main_agent_refactored.py,insightspike.implementations.agents.main_agent_refactored,implementations,implementations/agents,具体実装（agents/layers/datastore）,382,1,0,MainAgentRefactored,-,no,no,0,P0,merge_or_archive,src/insightspike/implementations/agents/main_agent.py,-,MainAgent 系が重複。差分を取り込んだ後に archive/deprecated へ移動
src/insightspike/implementations/datastore/sqlite_store.py,insightspike.implementations.datastore.sqlite_store,implementations,implementations/datastore,具体実装（agents/layers/datastore）,1743,3,0,ConfigurableVectorIndex|FAISSVectorIndex|SQLiteDataStore,-,yes,yes,1,P0,split,-,クラス/関数責務を 3〜5 モジュールへ分割（入出力、計算、永続化、CLI）,巨大ファイル。変更衝突が起きやすく、段階分割が必要
src/insightspike/implementations/layers/cached_memory_manager.py,insightspike.implementations.layers.cached_memory_manager,implementations,implementations/layers,具体実装（agents/layers/datastore）,1232,1,0,CachedMemoryManager,-,no,yes,1,P0,merge,src/insightspike/implementations/layers/layer2_memory_manager.py,-,L2のキャッシュ責務は strategy へ寄せ、重複ロジックを統合
src/insightspike/implementations/layers/layer2_memory_manager.py,insightspike.implementations.layers.layer2_memory_manager,implementations,implementations/layers,具体実装（agents/layers/datastore）,1123,3,1,MemoryMode|MemoryConfig|L2MemoryManager,create_memory_manager,yes,yes,5,P0,split,-,検索・統合/分割・aging/prune・統計出力を `layer2/` サブモジュールへ分割,L2の機能が単一ファイルに集中。アルゴリズム検証と運用ロジックを分離
src/insightspike/implementations/layers/layer4_llm_interface.py,insightspike.implementations.layers.layer4_llm_interface,implementations,implementations/layers,具体実装（agents/layers/datastore）,1444,4,3,LLMProviderType|LLMProviderRegistry|LLMConfig|L4LLMInterface,_safe_find_spec|_lazy_import|get_llm_provider,yes,yes,8,P0,split,-,クラス/関数責務を 3〜5 モジュールへ分割（入出力、計算、永続化、CLI）,巨大ファイル。変更衝突が起きやすく、段階分割が必要
src/insightspike/algorithms/gedig_core.py,insightspike.algorithms.gedig_core,algorithms,algorithms,geDIG/IG/類似度など指標計算,811,1,4,GeDIGCore,calculate_gedig|detect_insight_spike|delta_ged|delta_ig,yes,yes,6,P1,split,-,selector/config/linkset/multihop への委譲を進め、coreをオーケストレータ専用化,依然として 800 行規模。責務境界を明文化してテスト容易性を向上
src/insightspike/cli/commands/graph.py,insightspike.cli.commands.graph,cli,cli,CLIエントリとコマンド,819,1,5,GraphAnalyzer,visualize_graph_metrics|graph_command|analyze_command|visualize_command|sleep_gc_command,yes,yes,1,P1,split,-,責務単位でサブモジュール化（計算ロジックとI/Oを分離）,中〜大規模ファイル。テストしやすい単位へ分解
src/insightspike/detection/insight_registry.py,insightspike.detection.insight_registry,detection,detection,洞察検出/登録,809,3,2,InsightFact|GraphOptimizationResult|InsightFactRegistry,get_insight_registry|shutdown_insight_registry,yes,yes,4,P1,split,-,責務単位でサブモジュール化（計算ロジックとI/Oを分離）,中〜大規模ファイル。テストしやすい単位へ分解
src/insightspike/implementations/agents/datastore_agent.py,insightspike.implementations.agents.datastore_agent,implementations,implementations/agents,具体実装（agents/layers/datastore）,379,1,0,DataStoreMainAgent,-,no,no,0,P1,merge_or_archive,src/insightspike/implementations/agents/datastore_main_agent.py,-,datastore_main_agent と責務が近く重複傾向。用途を一本化
src/insightspike/implementations/agents/datastore_main_agent.py,insightspike.implementations.agents.datastore_main_agent,implementations,implementations/agents,具体実装（agents/layers/datastore）,471,2,0,QueryCache|DataStoreMainAgent,-,no,no,0,P1,merge_or_archive,src/insightspike/implementations/agents/main_agent.py,-,DataStore専用派生。Strategy化するか main_agent へ統合して重複を削減
src/insightspike/implementations/agents/slim_main_agent.py,insightspike.implementations.agents.slim_main_agent,implementations,implementations/agents,具体実装（agents/layers/datastore）,568,2,1,CycleResult|SlimMainAgent,create_slim_agent,no,yes,0,P1,merge,src/insightspike/implementations/agents/configurable_agent.py,-,軽量系エージェントの系統を ConfigurableAgent に統合しモード切替へ寄せる
src/insightspike/implementations/datastore/sqlite_store_graph.py,insightspike.implementations.datastore.sqlite_store_graph,implementations,implementations/datastore,具体実装（agents/layers/datastore）,420,1,0,SQLiteDataStoreGraphMixin,-,no,no,0,P1,merge,src/insightspike/implementations/datastore/sqlite_store.py,-,Mixin分割の利得が薄い。SQLite実装を単一エントリへ統合
src/insightspike/implementations/layers/layer2_working_memory.py,insightspike.implementations.layers.layer2_working_memory,implementations,implementations/layers,具体実装（agents/layers/datastore）,404,2,0,WorkingMemoryConfig|L2WorkingMemoryManager,-,no,no,1,P1,merge_or_isolate,src/insightspike/implementations/layers/layer2_memory_manager.py,-,利用箇所が限定的。正式戦略として統合するか experiments 側へ隔離
src/insightspike/implementations/layers/layer4_prompt_builder.py,insightspike.implementations.layers.layer4_prompt_builder,implementations,implementations/layers,具体実装（agents/layers/datastore）,380,1,0,L4PromptBuilder,-,no,no,0,P1,merge_or_activate,src/insightspike/implementations/layers/layer4_llm_interface.py,-,Layer4内部のprompt構築と重複。現行経路へ接続するか統合して死蔵を解消
src/insightspike/__init__.py,insightspike.__init__,root,root,パッケージ初期化/公開エントリ,204,3,3,About|MainAgent|CycleResult,_lazy_get_config|about|__getattr__,no,no,0,P2,shrink_exports,-,-,re-export を最小化し、重い import は遅延ロードに統一
src/insightspike/adaptive/__init__.py,insightspike.adaptive.__init__,adaptive,adaptive,適応探索ロジック,27,0,0,-,-,no,no,0,P2,archive_or_move,-,-,runtime/test から未到達。削除候補ではなくまず owner と用途を明記し、archive 判定する
src/insightspike/adaptive/calculators/__init__.py,insightspike.adaptive.calculators.__init__,adaptive,adaptive,適応探索ロジック,1,0,0,-,-,no,no,0,P2,archive_or_move,-,-,runtime/test から未到達。削除候補ではなくまず owner と用途を明記し、archive 判定する
src/insightspike/adaptive/calculators/adaptive_topk.py,insightspike.adaptive.calculators.adaptive_topk,adaptive,adaptive,適応探索ロジック,189,2,1,AdaptiveTopKConfig|AdaptiveTopKCalculator,estimate_chain_reaction_potential,no,yes,1,P2,test_only_or_promote,-,-,テスト経由のみ利用。製品コードへ昇格するか tests 専用ユーティリティへ移す
src/insightspike/adaptive/calculators/simple_topk.py,insightspike.adaptive.calculators.simple_topk,adaptive,adaptive,適応探索ロジック,20,1,0,SimpleTopKCalculator,-,no,yes,0,P2,test_only_or_promote,-,-,テスト経由のみ利用。製品コードへ昇格するか tests 専用ユーティリティへ移す
src/insightspike/adaptive/core/__init__.py,insightspike.adaptive.core.__init__,adaptive,adaptive,適応探索ロジック,1,0,0,-,-,no,no,0,P2,archive_or_move,-,-,runtime/test から未到達。削除候補ではなくまず owner と用途を明記し、archive 判定する
src/insightspike/adaptive/core/adaptive_processor.py,insightspike.adaptive.core.adaptive_processor,adaptive,adaptive,適応探索ロジック,313,1,0,AdaptiveProcessor,-,no,yes,1,P2,test_only_or_promote,-,-,テスト経由のみ利用。製品コードへ昇格するか tests 専用ユーティリティへ移す
src/insightspike/adaptive/core/exploration_loop.py,insightspike.adaptive.core.exploration_loop,adaptive,adaptive,適応探索ロジック,417,1,0,ExplorationLoop,-,no,yes,2,P2,test_only_or_promote,-,-,テスト経由のみ利用。製品コードへ昇格するか tests 専用ユーティリティへ移す
src/insightspike/adaptive/core/exploration_loop_fixed.py,insightspike.adaptive.core.exploration_loop_fixed,adaptive,adaptive,適応探索ロジック,308,1,0,ExplorationLoopFixed,-,no,no,0,P2,archive_or_move,-,-,runtime/test から未到達。削除候補ではなくまず owner と用途を明記し、archive 判定する
src/insightspike/adaptive/core/interfaces.py,insightspike.adaptive.core.interfaces,adaptive,adaptive,適応探索ロジック,130,5,0,ExplorationParams|ExplorationResult|ExplorationStrategy|TopKCalculator|PatternLearner,-,no,yes,9,P2,test_only_or_promote,-,-,テスト経由のみ利用。製品コードへ昇格するか tests 専用ユーティリティへ移す
src/insightspike/adaptive/strategies/__init__.py,insightspike.adaptive.strategies.__init__,adaptive,adaptive,適応探索ロジック,13,0,0,-,-,no,no,0,P2,archive_or_move,-,-,runtime/test から未到達。削除候補ではなくまず owner と用途を明記し、archive 判定する
src/insightspike/adaptive/strategies/alternating.py,insightspike.adaptive.strategies.alternating,adaptive,adaptive,適応探索ロジック,97,1,0,AlternatingStrategy,-,no,no,1,P2,archive_or_move,-,-,runtime/test から未到達。削除候補ではなくまず owner と用途を明記し、archive 判定する
src/insightspike/adaptive/strategies/base.py,insightspike.adaptive.strategies.base,adaptive,adaptive,適応探索ロジック,126,1,0,BaseStrategy,-,no,yes,4,P2,test_only_or_promote,-,-,テスト経由のみ利用。製品コードへ昇格するか tests 専用ユーティリティへ移す
src/insightspike/adaptive/strategies/expanding.py,insightspike.adaptive.strategies.expanding,adaptive,adaptive,適応探索ロジック,86,1,0,ExpandingStrategy,-,no,no,1,P2,archive_or_move,-,-,runtime/test から未到達。削除候補ではなくまず owner と用途を明記し、archive 判定する
src/insightspike/adaptive/strategies/exponential_strategy.py,insightspike.adaptive.strategies.exponential_strategy,adaptive,adaptive,適応探索ロジック,14,1,0,ExponentialStrategy,-,no,yes,1,P2,test_only_or_promote,-,-,テスト経由のみ利用。製品コードへ昇格するか tests 専用ユーティリティへ移す
src/insightspike/adaptive/strategies/narrowing.py,insightspike.adaptive.strategies.narrowing,adaptive,adaptive,適応探索ロジック,86,1,0,NarrowingStrategy,-,no,no,1,P2,archive_or_move,-,-,runtime/test から未到達。削除候補ではなくまず owner と用途を明記し、archive 判定する
src/insightspike/algorithms/__init__.py,insightspike.algorithms.__init__,algorithms,algorithms,geDIG/IG/類似度など指標計算,166,0,3,-,get_algorithm_info|create_default_ged_calculator|create_default_ig_calculator,no,yes,1,P2,shrink_exports,-,-,re-export を最小化し、重い import は遅延ロードに統一
src/insightspike/algorithms/core/__init__.py,insightspike.algorithms.core.__init__,algorithms,algorithms/core,geDIG/IG/類似度など指標計算,20,0,0,-,-,no,no,0,P2,archive_or_move,-,-,runtime/test から未到達。削除候補ではなくまず owner と用途を明記し、archive 判定する
src/insightspike/algorithms/entropy_calculator.py,insightspike.algorithms.entropy_calculator,algorithms,algorithms,geDIG/IG/類似度など指標計算,317,3,0,EntropyResult|ContentStructureSeparation|EntropyCalculator,-,no,yes,1,P2,test_only_or_promote,-,-,テスト経由のみ利用。製品コードへ昇格するか tests 専用ユーティリティへ移す
src/insightspike/algorithms/gating.py,insightspike.algorithms.gating,algorithms,algorithms,geDIG/IG/類似度など指標計算,29,1,1,GateDecision,decide_gates,no,yes,0,P2,test_only_or_promote,-,-,テスト経由のみ利用。製品コードへ昇格するか tests 専用ユーティリティへ移す
src/insightspike/algorithms/gedig/__init__.py,insightspike.algorithms.gedig.__init__,algorithms,algorithms/gedig,geDIG/IG/類似度など指標計算,84,0,0,-,-,no,no,0,P2,shrink_exports,-,-,re-export を最小化し、重い import は遅延ロードに統一
src/insightspike/algorithms/gedig/attention.py,insightspike.algorithms.gedig.attention,algorithms,algorithms/gedig,geDIG/IG/類似度など指標計算,219,3,1,AttentionGeDIGConfig|AttentionGeDIGResult|AttentionGeDIGCalculator,compute_attention_gedig,no,no,1,P2,archive_or_move,-,-,runtime/test から未到達。削除候補ではなくまず owner と用途を明記し、archive 判定する
src/insightspike/algorithms/gedig_analysis.py,insightspike.algorithms.gedig_analysis,algorithms,algorithms,geDIG/IG/類似度など指標計算,67,1,1,DivergenceStats,analyze_divergence,no,yes,0,P2,test_only_or_promote,-,-,テスト経由のみ利用。製品コードへ昇格するか tests 専用ユーティリティへ移す
src/insightspike/algorithms/gedig_calculator.py,insightspike.algorithms.gedig_calculator,algorithms,algorithms,geDIG/IG/類似度など指標計算,324,1,1,GeDIGCalculator,calculate_gedig,no,yes,0,P2,test_only_or_promote,-,-,テスト経由のみ利用。製品コードへ昇格するか tests 専用ユーティリティへ移す
src/insightspike/algorithms/gedig_factory.py,insightspike.algorithms.gedig_factory,algorithms,algorithms,geDIG/IG/類似度など指標計算,78,1,1,GeDIGFactory,dual_evaluate,no,yes,1,P2,test_only_or_promote,-,-,テスト経由のみ利用。製品コードへ昇格するか tests 専用ユーティリティへ移す
src/insightspike/algorithms/gedig_utils.py,insightspike.algorithms.gedig_utils,algorithms,algorithms,geDIG/IG/類似度など指標計算,417,4,0,GEDCalculationUtils|IGCalculationUtils|GeDIGComputationUtils|GraphValidationUtils,-,no,no,0,P2,archive_or_move,-,-,runtime/test から未到達。削除候補ではなくまず owner と用途を明記し、archive 判定する
src/insightspike/algorithms/gedig_wake_mode.py,insightspike.algorithms.gedig_wake_mode,algorithms,algorithms,geDIG/IG/類似度など指標計算,310,3,1,ProcessingMode|WakeModeResult|WakeModeGeDIG,calculate_wake_mode_gedig,no,yes,1,P2,test_only_or_promote,-,-,テスト経由のみ利用。製品コードへ昇格するか tests 専用ユーティリティへ移す
src/insightspike/algorithms/geometric_probabilistic_graph.py,insightspike.algorithms.geometric_probabilistic_graph,algorithms,algorithms,geDIG/IG/類似度など指標計算,719,2,2,ThreeSpaceMetrics|GeometricProbabilisticGraph,calculate_three_space_entropy|calculate_three_space_information_gain,no,yes,0,P2,test_only_or_promote,-,-,テスト経由のみ利用。製品コードへ昇格するか tests 専用ユーティリティへ移す
