episode_id,episode_text,domain,research_area,delta_ged,delta_ig,is_insight,cross_domain_count,domain_diversity,topk_count,vector_reconstruction,timestamp
1,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",medical diagnosis,Large Language Models,0.5,0.0,False,0,0,0,"Episode_1: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:58:57.501288
2,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",autonomous systems,Computer Vision,0.5,0.0,False,0,0,0,"Episode_2: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:58:57.542740
3,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",natural language processing,Reinforcement Learning,0.7472319304943085,0.003,False,2,2,2,"Episode_3: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:58:57.599817
4,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",computer vision,Graph Neural Networks,0.750832736492157,0.004,False,3,3,3,"Episode_4: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:58:57.643366
5,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",robotics,Federated Learning,0.6535001993179321,0.005,False,4,4,4,"Episode_5: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:58:57.687326
6,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",cybersecurity,Explainable AI,0.6540517210960388,0.006,False,5,5,5,"Episode_6: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:58:57.732128
7,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",climate modeling,Multimodal Learning,0.8807835876941681,0.007,False,6,6,6,"Episode_7: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:58:57.776175
8,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",drug discovery,Few-shot Learning,0.6858410239219666,0.008,False,7,7,7,"Episode_8: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:58:57.821060
9,"Recent research in Transfer Learning reveals new insights about financial prediction, showing promising results with practical implications for real-world deployment.",financial prediction,Transfer Learning,0.647900253534317,0.009000000000000001,False,8,8,8,"Episode_9: 中間抽象度, 集約的 (dims: [263, 116, 146, 202, 67])",2025-06-18T13:58:57.864984
10,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",educational technology,Adversarial Machine Learning,0.6267958283424377,0.01,False,9,9,9,"Episode_10: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:58:57.910327
